"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 11, 2023","1,534.26","1,513.12","1,536.07","1,508.07","313.72K","1.35%"
"Feb 10, 2023","1,513.82","1,545.35","1,554.19","1,499.49","523.33K","-2.04%"
"Feb 09, 2023","1,545.35","1,650.97","1,655.96","1,530.98","702.21K","-6.40%"
"Feb 08, 2023","1,650.99","1,671.39","1,694.28","1,631.15","447.57K","-1.22%"
"Feb 07, 2023","1,671.40","1,613.72","1,676.83","1,613.20","481.91K","3.57%"
"Feb 06, 2023","1,613.72","1,629.44","1,657.75","1,606.59","401.03K","-0.96%"
"Feb 05, 2023","1,629.44","1,666.90","1,671.88","1,612.70","435.14K","-2.25%"
"Feb 04, 2023","1,666.90","1,663.78","1,694.58","1,646.11","328.66K","0.19%"
"Feb 03, 2023","1,663.79","1,641.70","1,673.59","1,628.73","489.79K","1.34%"
"Feb 02, 2023","1,641.71","1,642.10","1,710.27","1,632.39","685.27K","-0.02%"
"Feb 01, 2023","1,642.10","1,585.27","1,647.27","1,560.18","505.44K","3.59%"
"Jan 31, 2023","1,585.27","1,566.50","1,602.03","1,562.04","368.94K","1.20%"
"Jan 30, 2023","1,566.50","1,645.97","1,647.25","1,540.25","630.55K","-4.83%"
"Jan 29, 2023","1,645.97","1,572.13","1,657.19","1,566.90","595.67K","4.63%"
"Jan 28, 2023","1,573.07","1,597.61","1,605.96","1,561.24","332.62K","-1.54%"
"Jan 27, 2023","1,597.60","1,602.54","1,620.15","1,560.21","533.75K","-0.31%"
"Jan 26, 2023","1,602.55","1,611.20","1,629.89","1,581.76","552.26K","-0.54%"
"Jan 25, 2023","1,611.20","1,555.97","1,638.97","1,523.71","681.59K","3.54%"
"Jan 24, 2023","1,556.15","1,626.52","1,641.17","1,539.51","493.47K","-4.33%"
"Jan 23, 2023","1,626.53","1,627.04","1,643.82","1,591.90","436.57K","-0.03%"
"Jan 22, 2023","1,627.03","1,626.66","1,662.13","1,609.32","456.36K","0.09%"
"Jan 21, 2023","1,625.53","1,659.96","1,678.27","1,622.89","523.34K","-2.08%"
"Jan 20, 2023","1,659.98","1,551.12","1,662.26","1,543.21","472.15K","6.98%"
"Jan 19, 2023","1,551.62","1,511.35","1,560.70","1,510.65","329.04K","2.67%"
"Jan 18, 2023","1,511.31","1,564.66","1,604.74","1,505.37","801.71K","-3.41%"
"Jan 17, 2023","1,564.67","1,576.94","1,603.32","1,544.45","536.73K","-0.78%"
"Jan 16, 2023","1,576.94","1,552.69","1,598.18","1,526.40","617.00K","1.56%"
"Jan 15, 2023","1,552.69","1,550.05","1,564.34","1,517.40","411.43K","0.17%"
"Jan 14, 2023","1,550.02","1,450.86","1,576.83","1,449.47","1.03M","6.83%"
"Jan 13, 2023","1,450.86","1,416.08","1,463.53","1,401.98","552.05K","2.46%"
"Jan 12, 2023","1,416.08","1,389.84","1,435.95","1,365.78","960.62K","1.89%"
"Jan 11, 2023","1,389.84","1,335.14","1,392.40","1,322.10","509.99K","4.10%"
"Jan 10, 2023","1,335.13","1,320.51","1,344.42","1,316.95","487.24K","1.11%"
"Jan 09, 2023","1,320.51","1,288.39","1,344.39","1,285.97","629.22K","2.49%"
"Jan 08, 2023","1,288.38","1,263.91","1,289.13","1,259.15","231.75K","1.94%"
"Jan 07, 2023","1,263.90","1,269.14","1,270.95","1,261.46","141.94K","-0.41%"
"Jan 06, 2023","1,269.14","1,250.95","1,274.85","1,240.38","369.54K","1.45%"
"Jan 05, 2023","1,250.95","1,256.92","1,259.08","1,242.93","289.49K","-0.47%"
"Jan 04, 2023","1,256.92","1,214.57","1,266.97","1,212.91","504.28K","3.49%"
"Jan 03, 2023","1,214.57","1,213.93","1,219.75","1,206.83","219.98K","0.05%"
"Jan 02, 2023","1,213.93","1,200.52","1,220.76","1,193.77","270.72K","1.12%"
"Jan 01, 2023","1,200.52","1,195.69","1,204.12","1,191.67","126.62K","0.41%"